,1차,,,,,,,,,,,2차,,,,,,,,,3차,,,,,,,,,4차,,,,,,,,
이름,네이버TV 조회수,총 조회수,순위,네이버TV 좋아요수,총 좋아요 수,순위,DC 멘션수,순위,DC 추천수,순위,실제순위,네이버TV 조회수,순위,네이버TV 좋아요수,순위,DC 멘션수,순위,DC 추천수,순위,실제순위,네이버TV 조회수,순위,네이버TV 좋아요수,순위,DC 멘션수,순위,DC 추천수,순위,실제순위,네이버TV 조회수,순위,네이버TV 좋아요수,순위,DC 멘션수,순위,DC 추천수,순위,실제순위
강민희,110478+50282+115737+18277+43277,338051,18,5785+3163+2160+3654+2464,17226,16,3976,14,20167,14,22,387424,17,9199,16,6218,13,35470,16,23,700314,17,13816,16,13934,8,124083,10,14,125773,9,7602,9,11638,6,89843,9,10
구정모,224713+29740+522338+61244+31827,869862,12,8558+2998+4079+8937+2838,27410,11,7463,9,42331,8,9,406690,16,14989,9,14314,4,103704,2,5,1260870,15,19673,10,14784,7,146576,8,15,86238,17,6871,11,16027,2,114280,4,13
금동현,230539+21795+39349+132657+17847,442187,17,9548+1709+4399+3143+2370,21169,14,3108,17,10001,18,17,1049614,9,15775,7,4882,18,17226,19,19,1275314,13,21261,9,8447,15,67352,17,10,99145,12,7622,8,9234,10,67353,15,14
김민규,452821+301983+43657+183908+38490,1020859,9,12387+2140+6079+2439+7129,30174,7,16240,3,62586,4,2,668411,12,12976,14,14997,3,84621,8,10,1268500,14,15678,14,22908,3,223870,4,5,124623,10,4389,17,13518,3,110705,6,17
김요한,5395680+55752+596509+76474+114534,6238949,1,35964+5876+4582+17065+3444,66931,1,20722,1,95844,1,1,4268736,2,24139,3,13459,6,102569,3,3,10671527,2,37064,2,18216,5,201579,6,1,269614,1,10961,2,8600,11,103367,7,1
김우석,5416283+107382+242905+57553+55371,5879494,2,32634+3766+4509+9822+4996,55727,2,20389,2,85917,2,4,4368308,1,31944,1,23234,1,138730,1,1,10940062,1,39501,1,37394,1,343407,1,2,"258,030",2,14060,1,13313,4,174125,1,2
남도현,3636319+378523+108629+118049+134115,4375635,3,18702+3293+3591+3260+10432,39278,5,10045,5,56526,5,6,2919921,3,13598,13,11310,8,100598,4,7,3521576,4,16732,11,16436,6,228165,3,7,190317,3,6801,12,10443,7,130941,3,8
손동표,768901+155886+26864+23365+158532,1133548,7,12172+6284+3067+3234+5207,29964,8,7876,8,37433,10,7,1717989,4,20725,4,9045,10,63865,9,11,2479532,8,16038,13,8430,16,74643,16,12,92285,16,5885,14,6688,17,48896,18,6
송유빈,613339+31681+25943+45339+22268,738570,13,7885+2322+1305+1271+1115,13898,19,5241,11,18425,16,8,226232,19,6861,18,6337,12,29047,18,12,203218,20,5633,20,8509,14,67246,18,17,128265,8,5848,15,6886,14,48700,19,16
송형준,661708+55618+137985+87717+41895,984923,10,19939+3479+4022+4329+8004,39773,4,13290,4,63115,3,3,1498123,5,20352,5,13826,5,96760,5,4,4508331,3,22130,8,13347,10,151575,7,8,98252,13,7130,10,8356,13,84659,10,4
이세진,124149+15105+55863+90303+22479,307899,19,3850+1221+2375+2380+972,10798,20,2527,19,8760,19,13,179978,20,5305,20,2305,20,11608,20,21,1505014,12,6946,19,4764,20,32989,20,20,47364,20,2302,20,2718,20,13267,20,18
이은상,1092001+121714+297972+35226+50671,1597584,6,19938+4508+3368+7064+7545,42423,3,7979,7,46169,7,5,1044181,10,14479,11,12239,7,92837,7,6,1761790,10,22340,7,21061,4,238537,2,9,94278,15,8045,7,11871,5,111442,5,11
이진혁,2174460+39891+54022+32208+69664,2370245,4,25065+4215+2720+2488+2885,37373,6,2822,18,42283,9,25,1220281,7,24327,2,10303,9,56525,12,2,2768737,5,29878,4,9057,12,101648,12,3,111830,11,9267,4,9926,8,91261,8,12
이한결,760708+17768+43401+14525+53242,889644,11,11942+1835+1239+1596+2649,19261,15,4294,12,18935,15,21,794843,11,13643,12,5463,16,58461,11,15,1061972,16,16061,12,6608,18,93518,15,16,79432,18,5704,16,6624,18,72260,12,7
조승연,1469351+32842+103441+78640+43200,1727474,5,16227+2368+1949+2697+4658,27899,9,8641,6,51701,6,28,1177810,8,15324,8,15038,2,94560,6,17,2550997,7,22695,5,28456,2,201712,5,6,173433,5,9185,5,18796,1,154708,2,5
차준호,366725+104982+27729+36301+80664,616401,15,9845+4466+2134+2059+3312,21816,13,5335,10,25944,11,11,479313,13,11546,15,6182,14,40542,15,13,2576191,6,15666,15,8774,13,99580,13,11,132617,7,6128,13,6778,15,65967,16,9
토니,160759+51586+21605+30542+21244,285736,20,5211+3483+1910+1641+1866,14111,18,3340,15,20770,13,20,230786,18,6775,19,3440,19,34542,17,27,662477,18,8584,18,7648,17,97714,14,19,97200,14,2542,19,6709,16,68192,14,20
한승우,979230+53558+42690+24620+25227,1125325,8,16691+2334+2544+4320+1941,27830,10,1245,20,7837,20,30,461285,14,14748,10,6914,11,63697,10,9,2230016,9,31709,3,13802,9,131258,9,4,178637,4,10318,3,9593,9,83209,11,3
함원진,259835+105446+20775+14613+41715,442384,16,7713+1716+1777+1330+3426,15962,17,4206,13,25506,12,10,450124,15,7920,17,5107,17,41033,14,14,618194,19,9892,17,5102,19,65382,19,18,57349,19,3558,18,4823,19,57233,17,19
황윤성,417335+165598+23541+18491+41333,666298,14,9236+6218+2838+2043+2720,23055,12,3289,16,18089,17,15,1480492,6,19306,6,6045,15,46210,13,18,1706012,11,22528,6,11443,11,114526,11,13,133658,6,8713,6,8440,12,70525,13,15